日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-05-19,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,39.17,40.37,0.92,0.85
2026-05-18,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,38.81,39.96,0.93,0.86
2026-05-15,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,38.79,39.88,0.93,0.86
2026-05-14,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,39.22,40.35,0.92,0.85
2026-05-13,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,40.0,41.15,0.9,0.84
2026-05-12,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,39.39,40.52,0.92,0.85
2026-05-11,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,39.53,40.68,0.91,0.84
2026-05-08,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,38.97,40.14,0.93,0.86
2026-05-07,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,38.83,40.03,0.93,0.86
2026-05-06,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,38.17,39.33,0.94,0.87
2026-05-05,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.16,38.48,0.97,0.89
2026-05-04,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.16,38.48,0.97,0.89
2026-04-30,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.16,38.48,0.97,0.89
2026-04-29,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.07,38.39,0.97,0.9
2026-04-28,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,36.6,37.92,0.99,0.91
2026-04-27,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.02,38.42,0.97,0.9
2026-04-24,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,36.88,38.31,0.98,0.9
2026-04-23,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.17,38.6,0.97,0.9
2026-04-22,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.65,39.12,0.96,0.88
2026-04-21,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.18,38.58,0.97,0.9
