日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
2026-04-30,000922,中证红利,CSI Dividend,000090,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.418
2026-04-30,000922,中证红利,CSI Dividend,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.693
2026-04-30,000922,中证红利,CSI Dividend,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange,1.308
2026-04-30,000922,中证红利,CSI Dividend,000429,粤高速A,Guangdong Provincial Expressway Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.853
2026-04-30,000922,中证红利,CSI Dividend,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange,1.024
2026-04-30,000922,中证红利,CSI Dividend,000672,上峰水泥,"GANSU SHANGFENG CEMENT CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,1.148
2026-04-30,000922,中证红利,CSI Dividend,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,1.027
2026-04-30,000922,中证红利,CSI Dividend,000933,神火股份,Henan Shen Huo Coal Industry and Electricity Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.995
2026-04-30,000922,中证红利,CSI Dividend,000983,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,1.422
2026-04-30,000922,中证红利,CSI Dividend,002043,兔宝宝,Dehua TB New Decoration Material Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.982
2026-04-30,000922,中证红利,CSI Dividend,002154,报喜鸟,Zhejiang Baoxiniao Garment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.479
2026-04-30,000922,中证红利,CSI Dividend,002233,塔牌集团,Guangdong Tapai Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.717
2026-04-30,000922,中证红利,CSI Dividend,002267,陕天然气,Shaan Xi Provincial Natural Gas Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.467
2026-04-30,000922,中证红利,CSI Dividend,002416,爱施德,Shenzhen Aisidi Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.9
2026-04-30,000922,中证红利,CSI Dividend,002540,亚太科技,Jiangsu Asia-Pacific Light Alloy Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.38
2026-04-30,000922,中证红利,CSI Dividend,002563,森马服饰,Zhejiang Semir Garment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.867
2026-04-30,000922,中证红利,CSI Dividend,002572,索菲亚,Suofeiya Home Collection Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.8
2026-04-30,000922,中证红利,CSI Dividend,002601,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.861
2026-04-30,000922,中证红利,CSI Dividend,002737,葵花药业,"SUNFLOWER PHARMACEUTICAL GROUP Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.439
2026-04-30,000922,中证红利,CSI Dividend,002756,永兴材料,"Yongxing Special Materials Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,1.638
2026-04-30,000922,中证红利,CSI Dividend,002867,周大生,"CHOW TAI SENG JEWELLERY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,1.052
2026-04-30,000922,中证红利,CSI Dividend,301109,军信股份,"HUNAN JUNXIN ENVIRONMENTAL PROTECTION CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,1.049
2026-04-30,000922,中证红利,CSI Dividend,600012,皖通高速,Anhui Expressway Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.856
2026-04-30,000922,中证红利,CSI Dividend,600015,华夏银行,Hua Xia Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange,1.033
2026-04-30,000922,中证红利,CSI Dividend,600016,民生银行,China Minsheng Banking Corp Ltd,上海证券交易所,Shanghai Stock Exchange,0.834
2026-04-30,000922,中证红利,CSI Dividend,600028,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai Stock Exchange,0.862
2026-04-30,000922,中证红利,CSI Dividend,600036,招商银行,China Merchants Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.796
2026-04-30,000922,中证红利,CSI Dividend,600039,四川路桥,Sichuan Road&Bridge Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.959
2026-04-30,000922,中证红利,CSI Dividend,600057,厦门象屿,"Xiamen Xiangyu Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.677
2026-04-30,000922,中证红利,CSI Dividend,600064,南京高科,NANJING GAOKE COMPANY LIMITED,上海证券交易所,Shanghai Stock Exchange,0.783
2026-04-30,000922,中证红利,CSI Dividend,600096,云天化,Yunnan Yuntianhua Co Ltd,上海证券交易所,Shanghai Stock Exchange,1.063
2026-04-30,000922,中证红利,CSI Dividend,600123,兰花科创,Shanxi Lanhua Science-Tech Venture Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.518
2026-04-30,000922,中证红利,CSI Dividend,600153,建发股份,Xiamen C&D Inc,上海证券交易所,Shanghai Stock Exchange,1.158
2026-04-30,000922,中证红利,CSI Dividend,600177,雅戈尔,Youngor Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,1.218
2026-04-30,000922,中证红利,CSI Dividend,600188,兖矿能源,Yankuang Energy Group Company Limited,上海证券交易所,Shanghai Stock Exchange,2.126
2026-04-30,000922,中证红利,CSI Dividend,600256,广汇能源,"GUANGHUI ENERGY CO., LTD.",上海证券交易所,Shanghai Stock Exchange,2.21
2026-04-30,000922,中证红利,CSI Dividend,600273,嘉化能源,"Zhejiang Jiahua Energy Chemical Industry Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,1.007
2026-04-30,000922,中证红利,CSI Dividend,600282,南钢股份,Nanjing Iron & Steel Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.981
2026-04-30,000922,中证红利,CSI Dividend,600295,鄂尔多斯,"Inner Mongolia Eerduosi Resources Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,1.703
2026-04-30,000922,中证红利,CSI Dividend,600348,华阳股份,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,1.423
2026-04-30,000922,中证红利,CSI Dividend,600350,山东高速,Shandong Hi-speed Company Limited,上海证券交易所,Shanghai Stock Exchange,1.037
2026-04-30,000922,中证红利,CSI Dividend,600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.703
2026-04-30,000922,中证红利,CSI Dividend,600398,海澜之家,"Heilan Home Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,1.206
