日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-05-19,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.41,11.09,4.54,4.96
2026-05-18,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.39,11.07,4.56,4.97
2026-05-15,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.43,11.12,4.53,4.94
2026-05-14,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.44,11.15,4.52,4.93
2026-05-13,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.42,11.26,4.54,4.88
2026-05-12,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.5,11.3,4.49,4.86
2026-05-11,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.5,11.32,4.49,4.85
2026-05-08,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.51,11.3,4.49,4.87
2026-05-07,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.53,11.34,4.48,4.85
2026-05-06,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.64,11.52,4.42,4.77
2026-05-05,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.6,10.29,4.39,4.81
2026-05-04,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.6,10.29,4.39,4.81
2026-04-30,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.6,10.29,4.39,4.79
2026-04-29,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.64,10.32,4.6,4.8
2026-04-28,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.64,10.23,4.61,4.85
2026-04-27,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.56,10.11,4.65,4.9
2026-04-24,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.61,10.14,4.62,4.89
2026-04-23,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.61,10.14,4.62,4.89
2026-04-22,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.56,10.09,4.65,4.91
2026-04-21,922,中证红利指数,中证红利,CSI Dividend Index,CSI Dividend,8.61,10.09,4.62,4.91
