日期,指数,市净率,等权市净率,市净率中位数
2005-04-08,1003.45,2.01,2.12,1.92
2005-04-11,995.42,2.03,2.14,1.95
2005-04-12,978.7,1.99,2.09,1.88
2005-04-13,1000.9,2.04,2.15,1.95
2005-04-14,986.98,2.02,2.11,1.93
2005-04-15,974.08,1.99,2.08,1.89
2005-04-18,963.77,1.97,2.06,1.88
2005-04-19,965.89,1.97,2.06,1.9
2005-04-20,950.87,1.94,2.01,1.83
2005-04-21,943.98,1.93,1.99,1.8
2005-04-22,939.1,1.93,1.97,1.76
2005-04-25,930.07,1.91,1.93,1.71
2005-04-26,937.08,1.91,1.95,1.73
2005-04-27,926.6,1.89,1.92,1.69
2005-04-28,942.07,1.92,1.95,1.71
2005-04-29,932.4,1.89,1.92,1.71
2005-05-09,909.17,1.82,1.87,1.67
2005-05-10,913.08,1.84,1.87,1.65
2005-05-11,901.85,1.81,1.85,1.65
2005-05-12,885.82,1.77,1.83,1.61
2005-05-13,887.54,1.77,1.83,1.64
2005-05-16,875.27,1.75,1.8,1.62
2005-05-17,881.46,1.75,1.82,1.63
2005-05-18,883.2,1.75,1.82,1.64
2005-05-19,884.17,1.75,1.82,1.63
2005-05-20,882.76,1.75,1.82,1.62
2005-05-23,863.34,1.71,1.78,1.58
2005-05-24,868.46,1.71,1.8,1.6
2005-05-25,868.45,1.7,1.8,1.61
2005-05-26,857.33,1.68,1.77,1.6
2005-05-27,849.51,1.67,1.76,1.59
2005-05-30,855.61,1.68,1.77,1.61
2005-05-31,855.95,1.69,1.77,1.61
2005-06-01,837.53,1.65,1.72,1.56
2005-06-02,818.38,1.61,1.69,1.54
2005-06-03,818.03,1.61,1.69,1.53
2005-06-06,839.0,1.65,1.73,1.56
2005-06-07,837.28,1.64,1.73,1.58
2005-06-08,905.77,1.78,1.87,1.7
2005-06-09,912.6,1.81,1.89,1.73
2005-06-10,894.56,1.77,1.85,1.69
2005-06-13,892.96,1.77,1.84,1.7
2005-06-14,883.54,1.76,1.82,1.67
2005-06-15,866.83,1.72,1.78,1.62
2005-06-16,879.24,1.75,1.8,1.64
2005-06-17,880.35,1.75,1.79,1.63
2005-06-20,906.26,1.8,1.85,1.67
2005-06-21,896.17,1.77,1.83,1.64
2005-06-22,900.65,1.78,1.84,1.64
2005-06-23,893.57,1.77,1.83,1.62
2005-06-24,898.3,1.79,1.84,1.64
2005-06-27,916.04,1.82,1.88,1.68
2005-06-28,903.72,1.8,1.85,1.65
2005-06-29,898.9,1.79,1.84,1.65
2005-06-30,878.69,1.75,1.79,1.6
